Pseudocode,Similarity,District Name
1005811,0.9951837347255742,CHIKKAMANGALURU
1068614,0.9954582556468115,UTTARA KANNADA SIRSI
1124299,0.9950759206618407,YADAGIRI
1126209,0.9950761481907028,MANDYA
1161326,0.9956651823323068,BALLARI
1199236,0.9957391103782173,BENGALURU U SOUTH
1234103,0.9953278913223083,DHARWAD
1288182,0.9955054491992654,BIDAR
1365869,0.9961690538375549,MANDYA
1370048,0.9954944065452567,CHIKKABALLAPURA
1412213,0.9950774563943372,DAVANAGERE
1418843,0.9950900709200899,BENGALURU RURAL
1431747,0.9951837347255742,CHAMARAJANAGARA
1465738,0.9950900709200899,CHIKKABALLAPURA
1483027,0.9959730113198181,BENGALURU RURAL
1502965,0.9954944065452567,SHIVAMOGGA
1510983,0.9951412208181805,BENGALURU RURAL
1527411,0.9950261190548538,CHIKKAMANGALURU
1540609,0.9954455051554602,KODAGU
1557119,0.9952270013205317,UTTARA KANNADA SIRSI
1559428,0.9963889960974117,BENGALURU RURAL
1604175,0.9951134876972262,KALBURGI
1663224,0.9951792503314071,BENGALURU U SOUTH
1683295,0.9959730113198181,KOLAR
1739168,0.9950774563943372,VIJAYAPURA
1752075,0.9966293375978069,BIDAR
1757541,0.9950029503472024,BENGALURU RURAL
1782523,0.9951412208181805,SHIVAMOGGA
1801956,0.9952453661410297,SHIVAMOGGA
1836518,0.9960066465895504,UTTARA KANNADA SIRSI
1840058,0.9967205320171376,CHIKKABALLAPURA
1851499,0.9950384993371786,UTTARA KANNADA SIRSI
1897691,0.9952849850456624,SHIVAMOGGA
1898622,0.995631194293996,TUMAKURU
1939485,0.9950900709200899,BIDAR
1997837,0.995310448663224,CHIKKABALLAPURA
2017695,0.9956017521504675,BENGALURU U SOUTH
2035782,0.9958675561512698,CHITRADURGA
2053611,0.9955570970193867,BELAGAVI CHIKKODI
2054533,0.9956842234527418,HASSAN
2099200,0.9950478504544437,MYSURU
2106332,0.9956845283391719,KODAGU
2196926,0.9951356033835359,BENGALURU U SOUTH
2205573,0.9966386542135947,BENGALURU RURAL
2216892,0.995917847173447,BENGALURU U NORTH
2221877,0.9951377209406576,CHITRADURGA
2229002,0.9951870419239,UTTARA KANNADA SIRSI
2242301,0.9951354852782242,MANDYA
2249206,0.9950774563943372,BALLARI
2263297,0.9951058208979654,KALBURGI
2274249,0.9952739953902624,CHIKKAMANGALURU
2297650,0.9950796097301933,HASSAN
2314556,0.9950917830522032,UTTARA KANNADA SIRSI
2351300,0.9965002512656607,VIJAYAPURA
2470568,0.995890438660151,BIDAR
2471099,0.9959730113198181,HASSAN
2622811,0.9951441356297741,SHIVAMOGGA
2684690,0.9959244205908698,KOLAR
2701696,0.9957236971164433,HASSAN
2776200,0.9950261190548538,HASSAN
2866280,0.9951308615800972,RAMANAGARA
2890627,0.9959643347520977,BENGALURU U SOUTH
2924996,0.9962668052394604,CHIKKAMANGALURU
2957150,0.9950194923864061,BELAGAVI
3091385,0.9953461868314141,BENGALURU U NORTH
3106838,0.9962668052394604,KOLAR
3123492,0.9952453661410297,UTTARA KANNADA
3138856,0.9964354815582045,KALBURGI
3171438,0.9959730113198181,BELAGAVI CHIKKODI
3220165,0.995832369661487,MANDYA
3237309,0.9954944065452567,MANDYA
3242319,0.9951127939877668,UTTARA KANNADA SIRSI
3291443,0.995803546022971,KOLAR
3330575,0.9954944065452567,BENGALURU RURAL
3363531,0.9954944065452567,BENGALURU RURAL
3403693,0.9952739953902624,TUMAKURU
3444235,0.9950064359622394,HASSAN
3480898,0.9959730113198181,KALBURGI
3494511,0.9950796097301933,RAMANAGARA
3566837,0.9958684192522038,MANDYA
3578784,0.9950264792750921,BELAGAVI CHIKKODI
3898202,0.9952453661410297,CHIKKAMANGALURU
3926806,0.995907652707171,BENGALURU RURAL
4024619,0.9960255990105841,UTTARA KANNADA SIRSI
4030393,0.9960358849991277,RAICHUR
4035780,0.9951356033835359,BENGALURU U NORTH
4052642,0.9958203977497521,CHIKKABALLAPURA
4115945,0.995907652707171,KODAGU
4126920,0.9955933984109412,HASSAN
4144425,0.995751507500257,KOLAR
4186656,0.9952828035117901,UTTARA KANNADA SIRSI
4195078,0.9959439949327973,BENGALURU U SOUTH
4207501,0.9961893268152641,TUMAKURU
4230327,0.9952739953902624,RAMANAGARA
4240998,0.9950900709200899,BENGALURU RURAL
4250372,0.9956055945941454,BENGALURU RURAL
4273048,0.995199796563977,CHIKKAMANGALURU
4310631,0.9951837347255742,MANDYA
4354381,0.9950774563943372,BENGALURU U SOUTH
4404585,0.9955055987847057,TUMAKURU MADHUGIRI
4412965,0.9951837347255742,BIDAR
4482107,0.995943389771256,KOLAR
4496678,0.9964002541172475,KALBURGI
4518179,0.995332839996818,KODAGU
4527583,0.9953275063531332,KODAGU
4540205,0.9958675561512698,BENGALURU U SOUTH
4590103,0.9951837347255742,HASSAN
4649107,0.9959567234420982,KALBURGI
4766075,0.9950261190548538,MYSURU
4803313,0.995214607158425,CHIKKAMANGALURU
4854418,0.995199796563977,YADAGIRI
4884671,0.9950931652825316,VIJAYAPURA
4891911,0.9961527124185896,CHITRADURGA
4910277,0.995746414870193,BENGALURU RURAL
4937498,0.995199796563977,BALLARI
4969307,0.995890438660151,HASSAN
4975125,0.9950900709200899,MANDYA
4995889,0.995832369661487,HASSAN
5006141,0.9951134876972262,KALBURGI
5039562,0.9951217648316178,UTTARA KANNADA
5086784,0.9951734465327228,BELAGAVI
